Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.0572,-85.9536,-90,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.62,-75.311,180,bottom
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.7547,-110.2106,180,bottom
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.9548,-115.2398,180,bottom
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.7547,-106.4006,180,bottom
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.9548,-118.9228,180,bottom
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-58.2295,270,bottom
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.772,-61.849,180,bottom
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-63.3095,270,bottom
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,228.854,-66.929,0,bottom
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.233,-66.929,180,bottom
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.381,-56.896,180,bottom
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,223.393,-66.929,180,bottom
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-52.705,270,bottom
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.794,-66.929,180,bottom
C23,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,218.313,-66.929,180,bottom
C24,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.101,-54.245,0,top
C25,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.2744,-62.2808,90,top
C26,22uF,CP_Elec_6.3x5.4,104.6277,-108.3056,0,top
C27,22uF,CP_Elec_6.3x3.9,85.3948,-53.238398,0,top
C28,22uF,CP_Elec_6.3x5.4,247.5738,-117.0178,0,top
C29,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.624,-69.977,-90,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.62,-56.896,180,bottom
C30,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.624,-84.963,-90,top
C31,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,206.883,-84.963,-90,top
C32,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.624,-101.473,-90,top
C33,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,227.076,-101.473,-90,top
C34,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,227.076,-84.963,-90,top
C35,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,186.817,-84.963,-90,top
C36,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,186.817,-101.473,-90,top
C37,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,206.883,-101.473,-90,top
C38,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.038,-34.5948,180,top
C39,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,177.6345,-32.3596,180,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.142,-56.896,180,bottom
C40,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,191.922,-40.132,0,top
C41,22uF,CP_Elec_6.3x5.4,249.047,-59.69,-90,top
C42,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,183.769,-38.354,180,top
C43,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,183.769,-40.894,180,top
C44,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.658,-49.276,0,bottom
C45,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,218.208,-43.942,180,bottom
C46,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,226.314,-43.9928,0,bottom
C47,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-45.0635,270,bottom
C48,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-48.895,90,bottom
C49,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.8355,-56.7055,180,bottom
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.142,-65.659,0,bottom
C50,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.447,-43.18,0,top
C51,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.1,-37.9,0,top
C52,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,180.848,-49.276,180,bottom
C53,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.836,-45.847,-90,top
C54,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.38,-93.5825,90,top
