Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.0572,-85.9536,-90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.381,-56.896,180.0,bottom
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.62,-56.896,180.0,bottom
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.142,-56.896,180.0,bottom
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.142,-65.659,0.0,bottom
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.381,-65.659,180.0,bottom
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.62,-65.659,180.0,bottom
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.142,-75.311,0.0,bottom
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.381,-75.311,0.0,bottom
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.62,-75.311,180.0,bottom
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.7547,-110.2106,180.0,bottom
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.9548,-115.2398,180.0,bottom
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.7547,-106.4006,180.0,bottom
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.9548,-118.9228,180.0,bottom
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-58.2295,270.0,bottom
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.772,-61.849,180.0,bottom
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-63.3095,270.0,bottom
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,228.854,-66.929,0.0,bottom
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.233,-66.929,180.0,bottom
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,223.393,-66.929,180.0,bottom
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-52.705,270.0,bottom
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.794,-66.929,180.0,bottom
